Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 78509.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 9.33 sec. (3030.75 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      731.6014    22                    731.6014    14843         
*     0+    0                            0.3703      731.6014    14843     --- 
      0     0      724.2499     5        0.3703       Cuts: 3    14873     --- 
*     0+    0                            6.2735      724.2499    14873     --- 
      0     0      692.4522   145        6.2735 UserPurge1: 130    15127     --- 
*     0+    0                          603.4620      692.4522    15127   14.75%
      0     0      692.1716   148      603.4620 UserPurge1: 132    15131   14.70%
      0     0      692.1037   142      603.4620 UserPurge1: 132    15151   14.69%
      0     0      692.0697   137      603.4620 UserPurge1: 132    15156   14.68%
*     0+    0                          605.1569      692.0697    15156   14.36%
      0     0      692.0609   143      605.1569 UserPurge1: 131    15161   14.36%
      0     0      692.0416   131      605.1569 UserPurge1: 132    15170   14.36%
      0     0      692.0086   172      605.1569 UserPurge1: 131    15181   14.35%
      0     0      691.9533   137      605.1569 UserPurge1: 135    15198   14.34%
      0     0      691.9459   137      605.1569 UserPurge1: 131    15200   14.34%
      0     0      691.9431   137      605.1569 UserPurge1: 131    15202   14.34%
      0     0      691.9410   157      605.1569 UserPurge1: 131    15203   14.34%
      0     0      691.8962   146      605.1569 UserPurge1: 134    15218   14.33%
      0     0      691.8881   117      605.1569 UserPurge1: 134    15222   14.33%
*     0+    0                          626.0553      691.8881    15222   10.52%
      0     0      691.8864   174      626.0553 UserPurge1: 130    15224   10.52%
      0     0      691.8823   139      626.0553 UserPurge1: 136    15233   10.51%
      0     0      691.8814   149      626.0553 UserPurge1: 132    15235   10.51%
      0     0      691.8805   182      626.0553 UserPurge1: 134    15239   10.51%
      0     0      691.8782   191      626.0553 UserPurge1: 137    15244   10.51%
      0     0      691.8708   150      626.0553 UserPurge1: 139    15251   10.51%
      0     0      691.8643   153      626.0553 UserPurge1: 134    15254   10.51%
      0     0      691.8639   198      626.0553 UserPurge1: 134    15256   10.51%
      0     0      691.8572   190      626.0553 UserPurge1: 140    15272   10.51%
      0     0      691.8529   139      626.0553 UserPurge1: 139    15276   10.51%
      0     0      691.8496   155      626.0553 UserPurge1: 132    15284   10.51%
      0     0      691.8407   166      626.0553 UserPurge1: 135    15288   10.51%
      0     0      691.8316   160      626.0553 UserPurge1: 137    15296   10.51%
      0     0      691.8221   179      626.0553 UserPurge1: 136    15299   10.50%
      0     0      691.8155   203      626.0553 UserPurge1: 138    15309   10.50%
      0     0      691.8051   206      626.0553 UserPurge1: 141    15322   10.50%
      0     0      691.7879   230      626.0553 UserPurge1: 140    15336   10.50%
      0     0      691.7848   232      626.0553 UserPurge1: 141    15341   10.50%
      0     0      691.7796   208      626.0553 UserPurge1: 141    15343   10.50%
      0     0      691.7685   210      626.0553 UserPurge1: 141    15353   10.50%
      0     0      691.7559   186      626.0553 UserPurge1: 138    15362   10.49%
      0     0      691.7337   220      626.0553 UserPurge1: 139    15374   10.49%
      0     0      691.7196   208      626.0553 UserPurge1: 142    15390   10.49%
      0     0      691.7063   256      626.0553 UserPurge1: 142    15402   10.49%
      0     0      691.6840   221      626.0553 UserPurge1: 146    15413   10.48%
      0     0      691.6684   232      626.0553 UserPurge1: 144    15422   10.48%
      0     0      691.6545   249      626.0553 UserPurge1: 144    15433   10.48%
      0     0      691.6374   213      626.0553 UserPurge1: 146    15450   10.48%
      0     0      691.6300   230      626.0553 UserPurge1: 141    15463   10.47%
      0     0      691.6244   210      626.0553 UserPurge1: 142    15472   10.47%
      0     0      691.6176   123      626.0553 UserPurge1: 141    15481   10.47%
      0     0      691.5894   224      626.0553 UserPurge1: 128    15493   10.47%
      0     0      691.5844   204      626.0553 UserPurge1: 139    15495   10.47%
      0     0      691.5765   244      626.0553 UserPurge1: 140    15502   10.47%
      0     0      691.5733   263      626.0553 UserPurge1: 142    15511   10.47%
      0     0      691.5678   253      626.0553 UserPurge1: 145    15525   10.46%
      0     0      691.5650   241      626.0553 UserPurge1: 146    15532   10.46%
      0     0      691.5441   217      626.0553 UserPurge1: 143    15542   10.46%
      0     0      691.5378   256      626.0553 UserPurge1: 141    15552   10.46%
      0     0      691.5320   249      626.0553 UserPurge1: 144    15558   10.46%
      0     0      691.5267   266      626.0553 UserPurge1: 146    15570   10.46%
      0     0      691.5118   247      626.0553 UserPurge1: 146    15592   10.46%
      0     0      691.4930   255      626.0553 UserPurge1: 148    15612   10.45%
      0     0      691.4899   220      626.0553 UserPurge1: 145    15619   10.45%
      0     0      691.4874   221      626.0553 UserPurge1: 138    15625   10.45%
      0     0      691.4853   233      626.0553 UserPurge1: 140    15630   10.45%
      0     0      691.4813   259      626.0553 UserPurge1: 147    15641   10.45%
      0     0      691.4742   274      626.0553 UserPurge1: 146    15655   10.45%
      0     0      691.4641   261      626.0553 UserPurge1: 146    15673   10.45%
      0     0      691.4622   281      626.0553 UserPurge1: 146    15680   10.45%
      0     0      691.4610   246      626.0553 UserPurge1: 148    15691   10.45%
      0     0      691.4601   286      626.0553 UserPurge1: 147    15701   10.45%
      0     0      691.4599   283      626.0553 UserPurge1: 150    15705   10.45%
      0     0      691.4565   277      626.0553 UserPurge1: 150    15721   10.45%
      0     0      691.4511   302      626.0553 UserPurge1: 150    15733   10.45%
      0     0      691.4328   257      626.0553 UserPurge1: 151    15754   10.44%
      0     0      691.4205   257      626.0553 UserPurge1: 146    15755   10.44%
      0     0      691.4086   293      626.0553 UserPurge1: 147    15773   10.44%
      0     0      691.3961   278      626.0553 UserPurge1: 150    15780   10.44%
      0     0      691.3918   272      626.0553 UserPurge1: 148    15788   10.44%
      0     0      691.3847   244      626.0553 UserPurge1: 149    15800   10.44%
      0     0      691.3823   271      626.0553 UserPurge1: 147    15812   10.43%
      0     0      691.3717   291      626.0553 UserPurge1: 148    15826   10.43%
      0     0      691.3659   303      626.0553 UserPurge1: 151    15835   10.43%
      0     0      691.3645   288      626.0553 UserPurge1: 151    15842   10.43%
      0     0      691.3589   288      626.0553 UserPurge1: 150    15850   10.43%
      0     0      691.3405   265      626.0553 UserPurge1: 151    15872   10.43%
      0     0      691.3283   276      626.0553 UserPurge1: 148    15890   10.43%
      0     0      691.3133   277      626.0553 UserPurge1: 150    15913   10.42%
      0     0      691.3045   283      626.0553 UserPurge1: 153    15924   10.42%
      0     0      691.3008   254      626.0553 UserPurge1: 150    15940   10.42%
      0     0      691.2871   301      626.0553 UserPurge1: 152    15959   10.42%
      0     0      691.2792   313      626.0553 UserPurge1: 156    15978   10.42%
      0     0      691.2700   290      626.0553 UserPurge1: 153    15992   10.42%
      0     0      691.2624   304      626.0553 UserPurge1: 151    16007   10.42%
      0     0      691.2579   316      626.0553 UserPurge1: 156    16015   10.41%
      0     0      691.2459   266      626.0553 UserPurge1: 155    16035   10.41%
      0     0      691.2419   262      626.0553 UserPurge1: 151    16042   10.41%
      0     0      691.2163   286      626.0553 UserPurge1: 152    16067   10.41%
      0     0      691.2143   284      626.0553 UserPurge1: 152    16075   10.41%
      0     0      691.2129   292      626.0553 UserPurge1: 151    16083   10.41%
      0     0      691.2117   290      626.0553 UserPurge1: 153    16093   10.41%
      0     0      691.2053   310      626.0553 UserPurge1: 153    16112   10.41%
      0     0      691.1943   238      626.0553 UserPurge1: 155    16124   10.40%
      0     0      691.1921   300      626.0553 UserPurge1: 145    16131   10.40%
      0     0      691.1855   306      626.0553 UserPurge1: 152    16145   10.40%
      0     0      691.1796   277      626.0553 UserPurge1: 153    16157   10.40%
      0     0      691.1750   266      626.0553 UserPurge1: 150    16173   10.40%
      0     0      691.1747   284      626.0553 UserPurge1: 149    16177   10.40%
      0     0      691.1736   324      626.0553 UserPurge1: 152    16192   10.40%
      0     0      691.1703   319      626.0553 UserPurge1: 156    16205   10.40%
      0     0      691.1658   284      626.0553 UserPurge1: 154    16225   10.40%
