intEpsilon: 1e-05
cutEpsilon: 1e-05
Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 240722.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 252.80 sec. (66661.74 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      176.5535   687                    176.5535    40132         
*     0+    0                           12.4973      176.5535    40132     --- 
      0     0      133.5207   557       12.4973     Cuts: 187    41507  968.40%
*     0+    0                           13.6721      133.5207    41507  876.59%
      0     0      127.3400   459       13.6721     Cuts: 394    41879  831.39%
      0     0      126.0603   515       13.6721  ZeroHalf: 72    42276  822.03%
      0     0      125.9605   488       13.6721  ZeroHalf: 13    42356  821.30%
      0     0      125.9049   544       13.6721   ZeroHalf: 3    42423  820.89%
      0     0      125.8414   534       13.6721       Cuts: 4    42490  820.43%
      0     0      125.5974   528       13.6721  ZeroHalf: 24    42644  818.64%
      0     0      125.5076   555       13.6721   ZeroHalf: 7    42735  817.99%
      0     0      125.0548   603       13.6721   ZeroHalf: 7    43155  814.67%
      0     0      124.9854   569       13.6721  ZeroHalf: 11    43188  814.17%
      0     0      124.8146   551       13.6721   ZeroHalf: 4    43377  812.92%
      0     0       95.0950   296       13.6721 UserPurge1: 115    44678  595.54%
      0     0       92.6088    31       13.6721 ZeroHalf: 129    45220  577.36%
*     0+    0                           38.9317       92.6088    45220  137.87%
Lazy DEBUG Label, root: ENSMUSP00000019060   y value: 1
Lazy DEBUG Label, root: ENSP00000296871   y value: 1
      0     0       83.4447   308       38.9317      Cuts: 37    45836  114.34%
      0     0       80.7739   410       38.9317      Cuts: 92    46916  107.48%
      0     0       80.5140     4       38.9317  ZeroHalf: 22    47173  106.81%
      0     0       80.4354   412       38.9317   ZeroHalf: 1    47405  106.61%
*     0+    0                           52.7013       80.4354    47405   52.63%
      0     0       80.4125   492       52.7013   ZeroHalf: 3    47554   52.58%
      0     0       80.3974   495       52.7013   ZeroHalf: 2    47637   52.55%
      0     0       75.2392   509       52.7013 UserPurge1: 72    49112   42.77%
      0     0       74.8216   530       52.7013   ZeroHalf: 9    49578   41.97%
      0     0       74.6431   554       52.7013       Cuts: 8    49776   41.63%
      0     0       67.4179   467       52.7013 UserPurge1: 79    50755   27.92%
      0     0       66.8743   489       52.7013  ZeroHalf: 19    51157   26.89%
      0     0       66.8137   487       52.7013   ZeroHalf: 6    51233   26.78%
      0     0       66.7598   516       52.7013      Cuts: 12    51338   26.68%
      0     0       66.7598   517       52.7013   ZeroHalf: 1    51340   26.68%
      0     0       65.5488   537       52.7013 UserPurge1: 62    52164   24.38%
      0     0       65.4218   526       52.7013 UserPurge1: 74    52463   24.14%
      0     0       65.3996   594       52.7013 UserPurge1: 45    52580   24.09%
      0     0       65.3732   576       52.7013 UserPurge1: 61    52698   24.04%
      0     0       65.3635   623       52.7013 UserPurge1: 48    52909   24.03%
      0     0       65.3300   684       52.7013 UserPurge1: 34    53244   23.96%
      0     0       65.3247   627       52.7013 UserPurge1: 27    53347   23.95%
      0     0       65.3218   645       52.7013 UserPurge1: 26    53444   23.95%
      0     0       65.3197   686       52.7013 UserPurge1: 26    53546   23.94%
      0     0       65.3113   650       52.7013 UserPurge1: 30    53710   23.93%
      0     0       65.3090   702       52.7013 UserPurge1: 27    53780   23.92%
      0     0       65.3009   623       52.7013 UserPurge1: 30    53967   23.91%
      0     0       65.2966    49       52.7013 UserPurge1: 30    54016   23.90%
      0     0       64.8570   537       52.7013 UserPurge1: 34    54864   23.07%
      0     0       64.7723   517       52.7013 UserPurge1: 37    54993   22.90%
      0     0       64.7319   538       52.7013 UserPurge1: 34    55113   22.83%
      0     0       64.7017   561       52.7013 UserPurge1: 20    55205   22.77%
      0     0       64.6753   567       52.7013 UserPurge1: 23    55351   22.72%
      0     0       64.6535   559       52.7013 UserPurge1: 21    55431   22.68%
      0     0       64.6451   576       52.7013 UserPurge1: 24    55481   22.66%
      0     0       64.6120   540       52.7013 UserPurge1: 22    55579   22.60%
      0     0       64.5983   587       52.7013 UserPurge1: 31    55624   22.57%
